   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 3- 1	 4- 3	 0- 0	     5918.47	Ej Spelad	1.00	 1
 3- 1	 4- 5	 0- 0	    10041.48	Ej Spelad	1.00	 1
 3- 1	 4- 6	 0- 0	     6497.43	Ej Spelad	1.00	 1
 3- 1	 5- 1	 0- 0	    14527.16	Ej Spelad	1.00	 1
 3- 1	 5- 2	 0- 0	    14527.16	Ej Spelad	1.00	 1
 3- 1	 5- 3	 0- 0	     7609.46	Ej Spelad	1.00	 1
 3- 1	 5- 4	 0- 0	     7989.94	Ej Spelad	1.00	 1
 3- 1	 5- 5	 0- 0	     8062.50	Ej Spelad	1.00	 1
 3- 1	 5- 6	 0- 0	    13807.03	Ej Spelad	1.00	 1
 3- 1	 6- 3	 0- 0	     7989.94	Ej Spelad	1.00	 1
 3- 1	 6- 4	 0- 0	     6658.28	Ej Spelad	1.00	 1
 3- 2	 0- 3	 0- 0	     6311.79	Ej Spelad	1.00	 1
 3- 2	 1- 2	 0- 0	     2868.99	Ej Spelad	1.00	 1
 3- 2	 1- 3	 0- 0	     6311.79	Ej Spelad	1.00	 1
 3- 2	 1- 4	 0- 0	     6311.79	Ej Spelad	1.00	 1
 3- 2	 1- 5	 0- 0	     3944.87	Ej Spelad	1.00	 1
 3- 2	 2- 1	 0- 0	     3043.79	Ej Spelad	1.00	 1
 3- 2	 2- 5	 0- 0	     3944.87	Ej Spelad	1.00	 1
 3- 2	 2- 6	 0- 0	     6311.79	Ej Spelad	1.00	 1
 3- 2	 2- 7	 0- 0	     5259.82	Ej Spelad	1.00	 1
 3- 2	 2- 8	 0- 0	     6311.79	Ej Spelad	1.00	 1
 3- 2	 3- 0	 0- 0	     9131.36	Ej Spelad	1.00	 1
 3- 2	 3- 4	 0- 0	     1434.50	Ej Spelad	1.00	 1
 3- 2	 3- 5	 0- 0	     1753.27	Ej Spelad	1.00	 1
 3- 2	 3- 6	 0- 0	     2868.99	Ej Spelad	1.00	 1
 3- 2	 3- 7	 0- 0	     7889.73	Ej Spelad	1.00	 1
 3- 2	 3- 8	 0- 0	    10519.64	Ej Spelad	1.00	 1
 3- 2	 4- 5	 0- 0	     2868.99	Ej Spelad	1.00	 1
 3- 2	 4- 6	 0- 0	     1856.41	Ej Spelad	1.00	 1
 3- 2	 4- 7	 0- 0	     6311.79	Ej Spelad	1.00	 1
 3- 2	 4- 8	 0- 0	    10519.64	Ej Spelad	1.00	 1
 3- 2	 4-10	 0- 0	    10519.64	Ej Spelad	1.00	 1
 3- 2	 5- 1	 0- 0	     4150.62	Ej Spelad	1.00	 1
 3- 2	 5- 5	 0- 0	     2303.57	Ej Spelad	1.00	 1
 3- 2	 5- 6	 0- 0	     3944.87	Ej Spelad	1.00	 1
 3- 2	 5- 7	 0- 0	     6311.79	Ej Spelad	1.00	 1
 3- 2	 5- 8	 0- 0	    10519.64	Ej Spelad	1.00	 1
 3- 2	 6- 5	 0- 0	     4565.68	Ej Spelad	1.00	 1
 3- 2	 6- 7	 0- 0	     7889.73	Ej Spelad	1.00	 1
 3- 2	 7- 5	 0- 0	     6522.40	Ej Spelad	1.00	 1
 3- 2	 7- 6	 0- 0	     7609.46	Ej Spelad	1.00	 1
 3- 2	 8- 2	 0- 0	     7609.46	Ej Spelad	1.00	 1
 3- 2	 8- 3	 0- 0	    11414.20	Ej Spelad	1.00	 1
 3- 2	 8- 4	 0- 0	     9131.36	Ej Spelad	1.00	 1
 3- 2	 8- 5	 0- 0	    11414.20	Ej Spelad	1.00	 1
 3- 2	 9- 2	 0- 0	    11414.20	Ej Spelad	1.00	 1
 3- 2	10- 4	 0- 0	    11414.20	Ej Spelad	1.00	 1
 3- 3	 0- 2	 0- 0	     6421.88	Ej Spelad	1.00	 1
 3- 3	 0- 3	 0- 0	     2568.75	Ej Spelad	1.00	 1
 3- 3	 1- 5	 0- 0	     1605.47	Ej Spelad	1.00	 1
 3- 3	 1- 6	 0- 0	     6421.88	Ej Spelad	1.00	 1
 3- 3	 2- 0	 0- 0	     9290.63	Ej Spelad	1.00	 1
 3- 3	 2- 6	 0- 0	     2568.75	Ej Spelad	1.00	 1
 3- 3	 2- 7	 0- 0	     2140.63	Ej Spelad	1.00	 1
 3- 3	 2- 8	 0- 0	     2568.75	Ej Spelad	1.00	 1
 3- 3	 3- 0	 0- 0	     3716.25	Ej Spelad	1.00	 1
 3- 3	 3- 7	 0- 0	     3210.94	Ej Spelad	1.00	 1
 3- 3	 3- 8	 0- 0	     4281.25	Ej Spelad	1.00	 1
 3- 3	 4- 0	 0- 0	     9290.63	Ej Spelad	1.00	 1
 3- 3	 4- 7	 0- 0	     2568.75	Ej Spelad	1.00	 1
 3- 3	 4- 8	 0- 0	     4281.25	Ej Spelad	1.00	 1
 3- 3	 4-10	 0- 0	     4281.25	Ej Spelad	1.00	 1
 3- 3	 5- 7	 0- 0	     2568.75	Ej Spelad	1.00	 1
 3- 3	 5- 8	 0- 0	     4281.25	Ej Spelad	1.00	 1
 3- 3	 5- 9	 0- 0	     6421.88	Ej Spelad	1.00	 1
 3- 3	 6- 0	 0- 0	     9290.63	Ej Spelad	1.00	 1
